Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
327,Isaiah Mobley,PF,24,CLE,3,0,4.7,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.7,1.7,mobleis01
328,Malik Monk,SG,25,SAC,42,0,25.9,5.0,11.5,.436,2.4,6.3,.388,2.6,5.3,.493,.541,2.3,2.8,.822,0.4,2.2,2.6,5.5,0.6,0.7,2.1,2.0,14.8,monkma01
329,Moses Moody,SG,21,GSW,34,4,18.0,3.1,6.5,.482,1.1,3.1,.358,2.0,3.4,.595,.568,1.3,1.7,.789,1.1,2.0,3.1,0.8,0.7,0.3,0.7,1.4,8.7,moodymo01
330,Xavier Moon,SG,29,LAC,2,0,6.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0,moonxa01
331,Taze Moore,SG,25,POR,2,0,2.5,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,mooreta02
332,Wendell Moore Jr.,SG,22,MIN,11,0,2.8,0.3,0.5,.600,0.0,0.2,.000,0.3,0.3,1.000,.600,0.0,0.0,,0.0,0.3,0.3,0.1,0.4,0.1,0.2,0.3,0.5,moorewe01
333,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,moranja01
334,Marcus Morris,PF,34,PHI,33,5,16.3,2.2,5.1,.443,1.0,2.3,.416,1.3,2.7,.467,.539,0.8,1.0,.844,0.5,2.3,2.9,0.7,0.3,0.3,0.4,1.7,6.3,morrima03
335,Markieff Morris,PF,34,DAL,16,1,9.4,0.9,2.9,.319,0.6,1.8,.321,0.4,1.2,.316,.415,0.2,0.3,.750,0.3,1.5,1.8,0.7,0.3,0.1,0.6,0.7,2.6,morrima02
336,Monte Morris,PG,28,DET,1,0,11.0,3.0,4.0,.750,1.0,1.0,1.000,2.0,3.0,.667,.875,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,morrimo01
337,Trey Murphy III,SF,23,NOP,21,3,25.7,4.2,9.9,.428,2.5,7.0,.363,1.7,3.0,.581,.555,1.9,2.4,.780,0.4,3.4,3.8,2.0,0.7,0.3,0.5,1.2,12.9,murphtr02
338,Dejounte Murray,SG,27,ATL,45,45,34.8,8.2,17.5,.469,2.4,6.2,.388,5.8,11.4,.513,.537,2.6,3.1,.830,0.7,4.3,5.0,5.1,1.3,0.3,2.2,1.7,21.4,murrade01
339,Jamal Murray,PG,26,DEN,32,32,31.3,7.8,16.6,.474,2.3,5.7,.404,5.5,10.8,.510,.543,2.9,3.3,.876,0.6,3.3,3.9,6.5,0.8,0.6,2.0,2.0,20.9,murraja01
340,Keegan Murray,SF,23,SAC,39,39,32.9,6.1,13.1,.467,2.4,6.6,.367,3.7,6.5,.567,.559,1.4,1.8,.797,1.4,4.2,5.6,1.6,1.2,0.6,0.8,2.6,16.0,murrake02
341,Kris Murray,SF,23,POR,27,0,12.5,1.3,3.6,.371,0.6,1.9,.294,0.8,1.7,.457,.448,0.3,0.4,.667,0.7,1.2,1.9,0.6,0.8,0.1,0.5,0.8,3.5,murrakr01
342,Mike Muscala,C,32,TOT,28,2,14.1,1.4,3.7,.385,0.7,2.3,.317,0.7,1.5,.488,.481,0.6,0.8,.727,1.0,2.2,3.1,1.0,0.2,0.4,0.6,1.3,4.1,muscami01
342,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0,muscami01
342,Mike Muscala,C,32,DET,4,0,14.5,1.8,3.5,.500,1.5,3.0,.500,0.3,0.5,.500,.714,0.3,0.5,.500,1.3,2.0,3.3,1.3,0.3,0.8,0.3,1.3,5.3,muscami01
343,Svi Mykhailiuk,SF,26,BOS,20,0,7.7,0.9,2.7,.321,0.6,2.1,.286,0.3,0.6,.455,.434,0.2,0.3,.500,0.3,0.6,0.9,0.3,0.3,0.0,0.3,0.6,2.5,mykhasv01
344,Larry Nance Jr.,C,31,NOP,28,0,17.8,2.3,3.9,.593,0.5,1.1,.469,1.8,2.7,.645,.662,0.8,1.0,.786,1.3,3.9,5.2,1.3,1.0,0.4,0.8,1.2,5.9,nancela02
345,Pete Nance,PF,23,CLE,2,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nancepe01
346,Andrew Nembhard,PG,24,IND,32,14,21.4,3.8,7.7,.500,0.7,2.1,.333,3.2,5.6,.561,.545,0.7,0.8,.778,0.6,1.1,1.7,4.5,0.9,0.1,2.0,2.0,9.0,nembhan01
347,Aaron Nesmith,SF,24,IND,41,16,26.0,4.3,8.4,.514,2.1,4.6,.463,2.2,3.9,.576,.640,1.2,1.7,.710,0.9,2.7,3.6,1.2,1.0,0.7,0.9,3.2,12.0,nesmiaa01
348,Georges Niang,PF,30,CLE,43,1,22.3,3.5,7.9,.442,1.8,4.9,.368,1.7,3.0,.567,.558,0.7,0.8,.853,0.3,3.5,3.8,1.2,0.3,0.2,0.8,2.4,9.5,niangge01
349,Daishen Nix,PG,21,MIN,6,0,3.5,0.5,1.3,.375,0.3,0.8,.400,0.2,0.5,.333,.500,0.0,0.3,.000,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.3,nixda01
350,Zeke Nnaji,PF,23,DEN,36,0,9.4,1.1,2.4,.466,0.1,0.4,.313,1.0,2.0,.500,.494,0.7,1.1,.641,1.1,1.0,2.1,0.5,0.3,0.6,0.6,1.5,3.1,nnajize01
351,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7,nowelja01
352,Markquis Nowell,SG,24,TOR,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,nowelma01
353,Frank Ntilikina,PG,25,CHO,3,0,7.3,0.3,1.3,.250,0.3,1.3,.250,0.0,0.0,,.375,0.7,0.7,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,1.7,ntilila01
354,Jusuf Nurkić,C,29,PHO,43,43,27.4,4.4,8.9,.495,0.5,1.8,.269,3.9,7.1,.553,.522,2.3,3.2,.717,2.6,7.7,10.3,3.6,1.0,1.0,2.0,3.3,11.6,nurkiju01
355,Jordan Nwora,SF,25,TOT,20,0,9.8,1.9,4.3,.442,0.6,2.0,.300,1.3,2.3,.565,.512,0.5,0.6,.818,0.5,1.3,1.7,1.0,0.3,0.1,0.7,1.0,4.9,nworajo01
355,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,.451,0.6,2.0,.306,1.4,2.6,.565,.518,0.5,0.6,.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2,nworajo01
355,Jordan Nwora,SF,25,TOR,2,0,6.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.5,1.5,nworajo01
356,Royce O'Neale,SF,30,BRK,43,6,24.5,2.4,6.5,.376,1.9,5.3,.354,0.6,1.2,.472,.520,0.3,0.5,.650,0.8,3.8,4.6,3.0,0.7,0.6,1.0,2.4,7.0,onealro01
357,Chuma Okeke,SF,25,ORL,27,8,13.2,1.3,3.4,.387,0.8,2.6,.319,0.5,0.9,.583,.505,0.1,0.2,.400,0.7,2.0,2.6,0.6,0.3,0.3,0.4,0.6,3.6,okekech01
358,Josh Okogie,SG,25,PHO,39,11,18.4,1.5,3.9,.388,0.4,1.8,.239,1.1,2.1,.519,.444,1.6,2.1,.735,1.3,1.5,2.8,1.3,0.9,0.5,0.6,1.5,5.0,okogijo01
359,Onyeka Okongwu,C,23,ATL,44,3,24.8,3.6,6.1,.584,0.3,1.1,.286,3.3,5.0,.650,.610,1.7,2.1,.809,2.5,4.2,6.8,1.4,0.4,1.0,0.9,3.0,9.2,okongon01
360,Isaac Okoro,SF,23,CLE,34,23,26.2,3.1,6.4,.486,0.9,2.5,.357,2.2,3.9,.567,.555,1.5,2.2,.658,1.3,2.0,3.3,1.9,0.8,0.4,0.8,2.2,8.6,okorois01
361,Kelly Olynyk,C,32,UTA,44,8,20.6,3.0,5.4,.561,0.8,1.8,.423,2.3,3.6,.629,.631,1.4,1.7,.851,1.3,3.8,5.0,4.3,0.8,0.3,1.7,2.8,8.2,olynyke01
362,Eugene Omoruyi,SF,26,WAS,19,0,5.8,1.7,2.9,.582,0.3,0.9,.294,1.4,2.0,.711,.627,0.8,1.1,.762,0.6,0.9,1.5,0.6,0.5,0.1,0.5,1.1,4.5,omorueu01
363,Cedi Osman,SF,28,SAS,45,1,17.8,2.7,5.6,.484,1.1,3.1,.370,1.6,2.5,.623,.585,0.7,1.0,.674,0.4,2.2,2.6,1.8,0.5,0.2,0.6,1.5,7.2,osmande01
364,Kelly Oubre Jr.,SF,28,PHI,31,20,27.0,4.6,10.0,.466,1.6,4.4,.358,3.1,5.5,.552,.545,1.6,2.3,.700,0.9,3.2,4.1,1.0,1.2,0.5,0.9,2.7,12.5,oubreke01
365,Chris Paul,PG,38,GSW,32,11,27.6,3.3,7.7,.424,1.3,3.7,.361,1.9,3.9,.484,.512,1.1,1.3,.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9,paulch01
366,Cameron Payne,PG,29,MIL,41,2,15.1,2.2,4.8,.467,1.1,2.8,.397,1.1,1.9,.570,.585,0.9,1.0,.875,0.1,1.1,1.2,2.2,0.4,0.1,0.7,1.6,6.4,payneca01
367,Gary Payton II,SG,31,GSW,16,0,16.3,2.3,4.9,.456,0.6,2.0,.281,1.7,2.9,.574,.513,0.4,0.6,.667,1.0,2.0,3.0,0.8,1.1,0.3,0.6,1.8,5.4,paytoga02
368,Drew Peterson,PF,24,BOS,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,peterdr01
369,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,petrufi01
369,Filip Petrušev,C,23,PHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,petrufi01
369,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,petrufi01
370,Julian Phillips,SF,20,CHI,22,0,4.5,0.4,1.1,.333,0.0,0.5,.083,0.3,0.5,.583,.354,0.0,0.2,.250,0.1,0.4,0.5,0.3,0.0,0.1,0.1,0.5,0.8,phillju01
371,Jalen Pickett,SG,24,DEN,16,0,6.1,0.8,1.8,.429,0.4,1.3,.350,0.3,0.5,.625,.554,0.1,0.1,1.000,0.1,0.6,0.7,0.8,0.2,0.0,0.4,0.5,2.1,pickeja02
372,Scotty Pippen Jr.,PG,23,MEM,2,0,14.5,3.0,4.5,.667,0.5,0.5,1.000,2.5,4.0,.625,.722,2.5,2.5,1.000,0.5,3.0,3.5,3.5,0.0,0.0,1.5,0.5,9.0,pippesc02
373,Mason Plumlee,C,33,LAC,13,4,16.7,2.3,3.6,.638,0.0,0.0,,2.3,3.6,.638,.638,1.5,2.6,.588,1.2,3.9,5.2,1.3,0.4,0.3,0.5,1.2,6.2,plumlma01
374,Brandin Podziemski,SG,20,GSW,36,10,24.5,3.6,7.9,.463,1.3,3.3,.390,2.4,4.6,.515,.544,0.6,1.0,.611,1.5,3.9,5.4,3.2,0.9,0.1,1.3,1.9,9.2,podzibr01
375,Jakob Poeltl,C,28,TOR,36,36,26.5,4.7,6.9,.685,0.0,0.0,,4.7,6.9,.685,.685,1.2,2.2,.532,2.8,5.6,8.3,2.5,0.7,1.4,1.6,2.9,10.6,poeltja01
376,Aleksej Pokusevski,PF,22,OKC,8,0,6.0,0.4,1.6,.231,0.1,1.1,.111,0.3,0.5,.500,.269,0.1,0.3,.500,0.3,0.9,1.1,0.6,0.0,0.1,0.4,0.6,1.0,pokusal01
377,Jordan Poole,SG,24,WAS,43,43,29.1,5.9,14.4,.411,2.0,6.3,.310,4.0,8.1,.490,.479,2.8,3.2,.869,0.4,1.9,2.3,3.4,1.0,0.3,2.2,3.1,16.5,poolejo01
378,Craig Porter Jr.,PG,23,CLE,29,5,15.9,2.9,5.7,.512,0.2,0.7,.333,2.7,4.9,.538,.534,1.1,1.6,.696,0.5,2.2,2.7,3.1,0.6,0.4,1.1,1.0,7.1,portecr01
379,Jontay Porter,PF,24,TOR,12,5,14.7,1.6,4.6,.345,0.7,2.4,.276,0.9,2.2,.423,.418,0.7,0.7,1.000,1.0,2.3,3.3,2.1,0.7,0.9,0.7,1.8,4.5,portejo01
380,Michael Porter Jr.,SF,25,DEN,46,46,31.1,6.1,12.7,.481,2.7,6.7,.401,3.4,5.9,.571,.588,1.0,1.3,.770,1.2,5.8,7.0,1.3,0.5,0.8,1.1,2.0,15.9,portemi01
381,Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,.424,0.5,1.5,.348,0.4,0.7,.600,.545,0.2,0.2,1.000,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,porteot01
382,Bobby Portis,PF,28,MIL,45,0,23.3,4.9,9.8,.503,1.1,2.8,.378,3.9,7.0,.554,.558,1.3,1.7,.776,1.5,5.2,6.7,1.0,0.7,0.4,0.9,2.4,12.2,portibo01
383,Kristaps Porziņģis,C,28,BOS,33,33,29.7,6.5,12.2,.529,1.8,5.1,.359,4.6,7.2,.648,.603,4.8,5.7,.840,1.6,5.1,6.7,2.0,0.7,1.8,1.6,2.9,19.5,porzikr01
384,Micah Potter,PF,25,UTA,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,pottemi01
385,Dwight Powell,C,32,DAL,39,8,16.0,1.6,2.2,.709,0.0,0.1,.500,1.5,2.2,.714,.715,1.4,1.9,.753,1.8,2.1,3.9,1.7,0.6,0.4,0.5,2.2,4.6,poweldw01
386,Norman Powell,SG,30,LAC,43,0,25.5,4.7,9.5,.499,2.0,4.6,.447,2.7,4.9,.547,.606,2.0,2.3,.870,0.1,2.3,2.5,1.0,0.6,0.4,0.9,1.8,13.6,powelno01
387,Joshua Primo,SG,21,LAC,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,primojo01
388,Taurean Prince,PF,29,LAL,43,43,30.7,3.5,8.2,.429,2.2,5.5,.391,1.4,2.7,.509,.561,0.7,0.9,.744,0.3,2.6,2.9,1.8,0.9,0.5,0.9,2.3,9.9,princta02
389,Payton Pritchard,PG,26,BOS,45,0,21.2,2.8,6.7,.423,1.7,4.4,.379,1.2,2.3,.510,.548,0.6,0.7,.788,1.0,2.3,3.2,3.0,0.4,0.1,0.6,1.2,7.9,pritcpa01
390,Olivier-Maxence Prosper,PF,21,DAL,24,0,9.1,0.9,2.6,.349,0.3,1.3,.258,0.6,1.3,.438,.413,0.8,1.1,.704,0.6,1.5,2.2,0.8,0.1,0.1,0.2,0.7,3.0,prospol01
391,Trevelin Queen,SG,26,ORL,11,0,13.9,1.3,3.2,.400,0.3,1.4,.200,1.0,1.8,.550,.443,0.8,1.1,.750,0.3,1.4,1.6,1.6,0.6,0.5,0.6,1.3,3.6,queentr01
392,Neemias Queta,C,24,BOS,17,0,12.4,1.8,3.2,.556,0.0,0.0,,1.8,3.2,.556,.556,0.8,1.1,.778,1.9,2.5,4.4,0.4,0.4,0.5,0.4,2.2,4.4,quetane01
393,Immanuel Quickley,SG-PG,24,TOT,42,12,26.2,5.2,11.9,.440,2.3,5.6,.410,2.9,6.3,.466,.536,2.8,3.2,.866,0.2,2.9,3.1,3.5,0.6,0.1,1.1,1.6,15.5,quickim01
393,Immanuel Quickley,SG,24,NYK,30,0,24.0,5.1,11.2,.454,2.1,5.4,.395,2.9,5.8,.509,.549,2.7,3.1,.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0,quickim01
393,Immanuel Quickley,PG,24,TOR,12,12,31.8,5.6,13.6,.411,2.7,6.0,.444,2.9,7.6,.385,.509,2.8,3.3,.850,0.3,4.3,4.6,6.1,0.8,0.2,1.4,2.0,16.7,quickim01
394,Lester Quinones,SG,23,GSW,9,0,6.3,1.0,2.6,.391,0.6,1.4,.385,0.4,1.1,.400,.500,0.1,0.2,.500,0.4,0.9,1.3,0.6,0.1,0.1,0.6,0.7,2.7,quinole01
395,Julius Randle,PF,29,NYK,45,45,35.5,8.6,18.3,.473,1.6,5.3,.304,7.0,12.9,.543,.518,5.2,6.6,.779,2.1,7.1,9.2,5.0,0.6,0.3,3.4,2.7,24.1,randlju01
396,Duop Reath,C,27,POR,33,11,18.1,3.5,7.2,.477,1.4,3.7,.372,2.1,3.6,.585,.571,1.1,1.4,.783,1.5,2.6,4.0,1.2,0.5,0.5,0.8,2.4,9.4,reathdu01
397,Austin Reaves,SG,25,LAL,46,21,30.2,5.3,10.7,.492,1.6,4.5,.350,3.7,6.2,.594,.565,2.9,3.3,.877,0.8,3.3,4.1,5.2,0.9,0.1,2.1,1.8,15.0,reaveau01
398,Cam Reddish,SF,24,LAL,35,26,23.3,2.4,5.9,.405,0.9,2.7,.337,1.5,3.1,.464,.483,1.0,1.3,.783,0.5,1.9,2.4,1.3,1.2,0.3,0.9,1.6,6.7,reddica01
399,Paul Reed,C,24,PHI,43,8,15.4,2.4,4.4,.550,0.2,0.5,.333,2.3,4.0,.576,.568,0.6,0.8,.722,1.9,2.8,4.7,1.1,0.7,0.7,0.8,2.2,5.7,reedpa01
400,Naz Reid,C,24,MIN,45,0,22.4,4.7,9.5,.495,1.9,4.7,.408,2.8,4.7,.582,.597,1.1,1.4,.794,1.0,3.6,4.6,1.1,0.8,0.7,1.3,2.0,12.4,reidna01
401,Jared Rhoden,SG,24,DET,5,0,6.0,1.0,1.8,.556,0.2,0.8,.250,0.8,1.0,.800,.611,0.4,0.4,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.4,0.8,2.6,rhodeja01
402,Nick Richards,C,26,CHO,34,21,24.5,3.6,5.4,.670,0.0,0.0,,3.6,5.4,.670,.670,2.0,2.7,.758,2.5,5.1,7.6,0.8,0.4,1.3,0.9,2.6,9.2,richani01
403,Josh Richardson,SG,30,MIA,36,5,25.9,3.4,8.0,.432,1.4,4.3,.333,2.0,3.7,.545,.521,1.3,1.3,.938,0.4,2.3,2.7,2.5,0.6,0.4,0.9,1.8,9.6,richajo01
404,Duncan Robinson,SF,29,MIA,43,17,28.1,4.7,10.3,.454,2.8,6.9,.403,1.9,3.4,.555,.588,1.3,1.5,.875,0.3,2.3,2.6,2.9,0.6,0.2,1.4,2.2,13.4,robindu01
405,Jerome Robinson,SG,26,GSW,7,0,3.7,0.0,1.3,.000,0.0,0.7,.000,0.0,0.6,.000,.000,0.6,0.9,.667,0.1,0.3,0.4,0.3,0.0,0.1,0.0,0.1,0.6,robinje01
406,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,.592,0.0,0.0,,2.8,4.7,.592,.592,0.7,1.8,.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2,robinmi01
407,Orlando Robinson,C,23,MIA,19,7,12.0,1.6,3.2,.517,0.4,0.6,.583,1.3,2.5,.500,.575,0.7,1.1,.700,1.0,2.3,3.3,1.4,0.3,0.4,0.7,1.5,4.4,robinor01
408,Jeremiah Robinson-Earl,PF,23,NOP,18,1,11.1,1.6,3.0,.519,0.4,1.1,.400,1.1,1.9,.588,.593,0.3,0.3,1.000,0.6,1.9,2.5,0.5,0.4,0.2,0.5,0.8,3.9,robinje02
409,David Roddy,PF,22,MEM,42,10,22.5,3.0,7.5,.406,1.0,3.1,.315,2.1,4.4,.470,.471,0.9,1.2,.706,1.1,2.9,4.0,1.5,0.5,0.2,1.0,1.4,7.9,roddyda01
410,Ryan Rollins,PG,21,WAS,10,0,6.6,1.3,2.5,.520,0.2,0.3,.667,1.1,2.2,.500,.560,1.3,1.7,.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1,rolliry01
411,Derrick Rose,PG,35,MEM,17,7,17.9,3.3,7.5,.438,0.6,1.9,.333,2.6,5.6,.474,.480,1.1,1.2,.905,0.4,1.4,1.8,3.4,0.4,0.1,1.3,1.1,8.4,rosede01
412,Terry Rozier,SG-PG,29,TOT,32,31,35.1,8.1,17.8,.453,2.7,7.5,.353,5.4,10.3,.526,.527,3.5,4.1,.847,0.6,3.3,3.8,6.4,1.1,0.4,2.1,1.8,22.3,roziete01
412,Terry Rozier,SG,29,CHO,30,30,35.5,8.4,18.3,.459,2.8,7.7,.358,5.6,10.6,.533,.535,3.6,4.3,.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2,roziete01
412,Terry Rozier,PG,29,MIA,2,1,29.0,3.0,10.5,.286,1.0,4.5,.222,2.0,6.0,.333,.333,1.0,1.0,1.000,1.0,2.0,3.0,4.0,1.5,0.0,1.5,2.0,8.0,roziete01
413,Rayan Rupert,SG,19,POR,15,0,7.6,1.0,2.7,.366,0.5,1.1,.412,0.5,1.6,.333,.451,0.3,0.5,.625,0.4,0.9,1.3,0.7,0.1,0.0,0.4,0.5,2.8,ruperra01
414,D'Angelo Russell,PG,27,LAL,42,35,30.1,6.3,13.1,.482,2.5,6.0,.422,3.8,7.2,.532,.578,1.7,2.1,.778,0.4,2.3,2.7,6.2,0.8,0.5,2.0,2.0,16.9,russeda01
415,Matt Ryan,SF,26,NOP,13,1,22.9,2.9,6.4,.458,2.5,5.2,.471,0.5,1.2,.400,.651,1.0,1.1,.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3,ryanma01
416,Domantas Sabonis,C,27,SAC,43,43,35.3,8.0,13.1,.612,0.5,1.1,.429,7.5,11.9,.630,.631,3.5,5.1,.677,3.2,9.5,12.7,8.0,0.8,0.6,3.3,3.3,20.0,sabondo01
417,Luka Šamanić,PF,24,UTA,21,0,6.0,1.0,2.7,.375,0.2,1.0,.238,0.8,1.7,.457,.420,0.5,0.6,.846,0.3,1.5,1.8,0.2,0.0,0.1,0.4,0.6,2.8,samanlu01
418,Jermaine Samuels,SF,25,HOU,7,0,6.3,0.7,1.1,.625,0.0,0.3,.000,0.7,0.9,.833,.625,0.3,0.3,1.000,0.3,1.1,1.4,0.3,0.1,0.1,0.0,0.4,1.7,samueje01
419,Adama Sanogo,PF,21,CHI,3,0,3.7,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.7,1.0,.667,0.7,1.3,2.0,0.0,0.0,0.0,0.3,0.0,2.7,sanogad01
420,Gui Santos,PF,21,GSW,6,0,5.8,0.7,1.8,.364,0.2,1.0,.167,0.5,0.8,.600,.409,1.0,1.0,1.000,0.8,1.2,2.0,0.3,0.0,0.0,0.3,0.5,2.5,santogu01
421,Dario Šarić,C,29,GSW,42,9,20.7,3.7,7.5,.490,1.6,3.8,.416,2.1,3.6,.569,.597,1.6,1.9,.850,1.4,4.1,5.6,2.5,0.6,0.2,1.3,2.2,10.5,saricda01
422,Olivier Sarr,C,24,OKC,9,0,7.6,0.7,1.2,.545,0.2,0.6,.400,0.4,0.7,.667,.636,0.7,0.9,.750,0.7,2.2,2.9,0.2,0.0,0.6,0.2,1.6,2.2,sarrol01
423,Marcus Sasser,PG,23,DET,40,0,15.5,2.7,5.8,.468,1.0,2.6,.392,1.7,3.2,.527,.554,0.7,0.8,.906,0.2,1.4,1.6,2.6,0.6,0.2,0.9,1.3,7.1,sassema01
424,Admiral Schofield,PF,26,ORL,12,0,3.8,0.4,1.3,.333,0.2,0.8,.222,0.3,0.5,.500,.400,0.0,0.2,.000,0.1,0.5,0.6,0.3,0.0,0.0,0.3,0.6,1.0,schofad01
425,Dennis Schröder,PG,30,TOR,45,31,31.0,5.0,11.0,.451,1.6,4.4,.357,3.4,6.7,.512,.521,2.4,2.8,.856,0.4,2.2,2.7,6.3,0.8,0.1,1.5,2.1,13.9,schrode01
426,Dereon Seabron,SG,23,NOP,5,0,10.4,0.8,2.6,.308,0.2,0.4,.500,0.6,2.2,.273,.346,1.0,1.2,.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8,seabrde01
427,Alperen Şengün,C,21,HOU,44,44,32.6,8.7,16.0,.543,0.6,2.0,.287,8.1,14.0,.579,.561,4.0,5.5,.721,2.7,6.4,9.1,5.1,1.2,0.8,2.6,3.3,21.9,sengual01
428,Brice Sensabaugh,SF,20,UTA,4,0,3.0,0.5,1.5,.333,0.3,0.5,.500,0.3,1.0,.250,.417,0.0,0.0,,0.3,0.5,0.8,0.5,0.0,0.0,0.0,0.3,1.3,sensabr01
429,Collin Sexton,SG,25,UTA,46,23,24.0,5.9,12.1,.489,1.5,3.9,.380,4.5,8.2,.541,.550,4.0,4.6,.886,0.9,1.8,2.6,4.1,0.7,0.2,1.8,2.1,17.4,sextoco01
430,Landry Shamet,SG,26,WAS,28,0,15.2,2.9,6.1,.465,1.3,3.4,.385,1.5,2.7,.566,.573,1.0,1.3,.771,0.2,1.0,1.2,1.4,0.6,0.3,0.6,1.8,8.0,shamela01
431,Day'Ron Sharpe,C,22,BRK,37,1,16.0,3.0,5.2,.575,0.0,0.2,.143,3.0,5.0,.591,.578,1.5,2.4,.614,2.8,4.2,7.0,1.4,0.5,0.9,1.0,2.3,7.5,sharpda01
432,Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,.406,1.9,5.6,.333,3.6,7.9,.457,.475,3.1,3.7,.824,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,15.9,sharpsh01
433,Ben Sheppard,SG,22,IND,24,0,9.9,1.0,2.8,.368,0.5,1.8,.279,0.5,1.0,.520,.456,0.4,0.5,.750,0.3,1.0,1.3,0.9,0.5,0.0,0.1,1.3,3.0,sheppbe01
434,Pascal Siakam,PF,29,TOT,44,44,34.4,8.4,16.0,.527,1.2,3.5,.327,7.3,12.4,.584,.563,4.2,5.6,.744,1.5,5.0,6.5,5.0,0.8,0.2,2.1,2.3,22.1,siakapa01
434,Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,siakapa01
